,Unnamed: 0_x,fips_str,ep_pov,ep_bipoc,ep_carless,ep_overcrowd,risk_score,Unnamed: 0_y,pop
57,62616,42003160800,0.2245072836332476,0.1568123393316195,0.1642628205128205,0.0,0.1991422401846878,62616,2334
163,62722,42003432400,0.1598694942903752,0.2393964110929853,0.1617529880478087,0.0,0.1987832466135254,62722,2452
68,62627,42003191600,0.1874386653581943,0.2745338567222767,0.106476399560922,0.0,0.1982552945509172,62627,4076
70,62629,42003191800,0.1414022718370544,0.1764590677634155,0.1384180790960452,0.01,0.1975558463786415,62629,5106
290,62849,42003501000,0.2623456790123457,0.1234567901234567,0.1495673671199011,0.006,0.1975463825459141,62849,1620
289,62848,42003500300,0.2257010618023414,0.2295126599509937,0.0368519675202998,0.011,0.1947707279132436,62848,3673
27,62586,42003090200,0.1719984945427173,0.1185547610086563,0.2325581395348837,0.0,0.1942710818764605,62586,2657
240,62799,42003476100,0.1685144124168514,0.2410804273331989,0.1406181976491075,0.008,0.1942073807047446,62799,4961
122,62681,42003413500,0.1519116150603285,0.195231865096671,0.023076923076923,0.022,0.1938534348641864,62681,6879
100,62659,42003402000,0.1723708774113254,0.0799626633478531,0.1850419084461637,0.015,0.1924806676947973,62659,3214
23,62582,42003080600,0.1506342494714588,0.1738900634249471,0.2056932966023875,0.0,0.1924519653489435,62582,1892
186,62745,42003456004,0.0321966418556344,0.2040851653107149,0.1177644710578842,0.024,0.191897506803842,62745,5777
327,62886,42003523701,0.1513641133263378,0.1492654774396642,0.0830546265328874,0.016,0.1917101346618626,62886,3812
50,62609,42003140800,0.108761943484448,0.2484244765196178,0.1811479726171669,0.0,0.1895920286654475,62609,4919
25,62584,42003080900,0.1411012782694198,0.1592920353982301,0.2188919164396003,0.0,0.1895149449101285,62584,2034
190,62749,42003458002,0.1700130947184635,0.1357485814054997,0.0457610789980732,0.024,0.189349594783074,62749,4582
161,62720,42003431500,0.1583969465648854,0.2201017811704834,0.1538011695906432,0.0,0.1890608419918805,62720,3144
67,62626,42003191500,0.1614035087719298,0.1027568922305764,0.0932203389830508,0.025,0.1863215326489021,62626,1995
368,62927,42003563900,0.0847587439366862,0.2655093183558846,0.0676767676767676,0.021,0.1862386272857024,62927,3917
171,62730,42003448000,0.144,0.2204444444444444,0.1596491228070175,0.0,0.1859430671654841,62730,1125
304,62863,42003515401,0.1971441731920774,0.2353754030400737,0.0380116959064327,0.011,0.1855633656145133,62863,2171
273,62832,42003490003,0.1501986754966887,0.1780132450331125,0.031095406360424,0.021,0.1843831387676224,62832,3775
315,62874,42003521302,0.2199524940617577,0.3244655581947743,0.0704714640198511,0.0,0.1837870021828198,62874,4210
263,62822,42003487000,0.2106567534076827,0.0681536555142503,0.0996354799513973,0.018,0.1835907279446494,62822,1614
28,62587,42003090300,0.1744738628649015,0.1072640868974881,0.2098321342925659,0.0,0.1826569514224736,62587,1473
246,62805,42003478200,0.1944888888888888,0.1235555555555555,0.1730103806228373,0.0069999999999999,0.1807371241337001,62805,5625
188,62747,42003457200,0.1758373205741626,0.0858253588516746,0.1851645287228109,0.011,0.1799789497997027,62747,3344
113,62672,42003411002,0.0543791292563103,0.2573267829916991,0.0,0.0289999999999999,0.1787589043683551,62672,5903
311,62870,42003520002,0.0954317897371714,0.3479349186483104,0.0367786937222574,0.01,0.1777117712532071,62870,3196
168,62727,42003445500,0.1675703588949135,0.1820294345468629,0.142513529765484,0.0,0.1762969486182392,62727,3873
159,62718,42003431100,0.1371763255240443,0.156905055487053,0.1904484566103669,0.0,0.1759076643560986,62718,3244
372,62931,42003564400,0.2024938531787846,0.1503336845802599,0.1259783824077525,0.004,0.1733559775135782,62931,5694
206,62765,42003468800,0.1927042030134813,0.1126090404440919,0.1631701631701631,0.0,0.172727967605428,62765,2522
312,62871,42003521100,0.1438914027149321,0.3762443438914027,0.0051340559041642,0.0,0.1704718404272699,62871,4420
116,62675,42003412004,0.0155363748458692,0.3057953144266337,0.1128808864265928,0.009,0.1693893944981079,62675,4055
267,62826,42003488400,0.1986770611859201,0.1596976139853531,0.1073094867807153,0.0,0.1673337386669309,62826,4233
313,62872,42003521200,0.1523605150214592,0.2498807820696232,0.077263779527559,0.0,0.1654130228952004,62872,4194
219,62778,42003473100,0.0949616421314534,0.1295873937383371,0.1123706259241005,0.013,0.1651204899078249,62778,4823
135,62694,42003421200,0.1316223216388038,0.1817753708500117,0.0704845814977973,0.017,0.1644888334349642,62694,4247
118,62677,42003413201,0.0599755201958384,0.1082007343941248,0.0103425985778926,0.038,0.1637883523950332,62677,4085
55,62614,42003151600,0.1620618556701031,0.1678350515463917,0.1264822134387351,0.0,0.1633725864515668,62614,2425
47,62606,42003140300,0.1286343612334801,0.2370044052863436,0.1029629629629629,0.0,0.1625194557047634,62606,3405
14,62573,42003060300,0.1719771241830065,0.1825980392156862,0.10056258790436,0.006,0.1614311772913431,62573,2448
220,62779,42003473200,0.1251215559157212,0.1546191247974068,0.1645484949832776,0.0,0.1602083100527773,62779,3085
95,62654,42003320600,0.1442652329749104,0.0739247311827957,0.0414937759336099,0.03,0.1598607182185431,62654,2232
156,62715,42003429700,0.1531971580817051,0.0399644760213143,0.0577114427860696,0.0289999999999999,0.1598366940624609,62715,2252
269,62828,42003488600,0.1602856576076175,0.1616742709779805,0.0701324178518881,0.0139999999999999,0.1589075465787687,62828,5041
83,62642,42003270100,0.1118340788938593,0.1935746238308255,0.1409235668789809,0.002,0.1577235513585818,62642,2459
